room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15524898,28820575,Private room,,East Boston,1,,2,,70.0,1.0,42.370922,-71.035329,2016-11-21 09:48:44.532258
7489883,39226802,Private room,,East Boston,14,4.5,2,,60.0,1.0,42.37871,-71.03297,2016-11-21 09:48:10.240934
8168982,30283594,Entire home/apt,,Fenway,0,,5,,199.0,3.0,42.343945,-71.10024,2016-11-21 09:47:20.156957
15522020,91548283,Entire home/apt,,Downtown,13,5.0,2,,200.0,2.0,42.362934,-71.056775,2016-11-21 09:46:32.533110
13636659,1444340,Private room,,South Boston,0,,2,,105.0,2.0,42.336159,-71.045358,2016-11-21 09:46:20.116330
2021489,10197317,Private room,,South Boston,12,4.0,3,,200.0,1.0,42.333231,-71.049327,2016-11-21 09:46:00.107931
15930433,7551650,Entire home/apt,,Dorchester,0,,8,,275.0,3.0,42.300384,-71.051336,2016-11-21 09:45:45.967982
6574771,16881770,Private room,,Dorchester,42,5.0,1,,45.0,3.0,42.323962,-71.058513,2016-11-21 09:45:01.944902
5511924,28420948,Private room,,South Boston,39,5.0,2,,135.0,1.0,42.33618,-71.027815,2016-11-21 09:44:43.972048
14873137,38103409,Entire home/apt,,Fenway,0,,2,,200.0,1.0,42.343159,-71.094345,2016-11-21 09:44:26.523026
8252058,42838239,Private room,,East Boston,124,5.0,2,,80.0,1.0,42.37208,-71.031983,2016-11-21 09:42:58.574560
10034183,31310602,Entire home/apt,,South Boston,5,5.0,2,,135.0,1.0,42.33093,-71.041464,2016-11-21 09:42:26.384219
11863590,44013653,Entire home/apt,,South Boston Waterfront,1,,4,,249.0,1.0,42.347727,-71.038108,2016-11-21 09:42:14.612285
15073826,15789148,Entire home/apt,,Back Bay,8,5.0,3,,190.0,3.0,42.352201,-71.085635,2016-11-21 09:42:06.043986
8428052,33294128,Private room,,Beacon Hill,9,5.0,2,,195.0,1.0,42.36066,-71.066726,2016-11-21 09:41:34.680495
15255593,51058620,Entire home/apt,,Downtown,7,4.5,2,,180.0,,42.350099,-71.065162,2016-11-21 09:41:20.472750
12904318,52601623,Private room,,Dorchester,1,,1,,55.0,1.0,42.283584,-71.066951,2016-11-21 09:39:47.021538
10068240,15583990,Private room,,Dorchester,44,4.5,4,,67.0,1.0,42.289714,-71.061404,2016-11-21 09:39:32.134727
13532311,26704689,Entire home/apt,,South Boston,8,5.0,7,,275.0,1.0,42.332173,-71.048359,2016-11-21 09:39:08.218396
14692682,19520294,Private room,,West Roxbury,9,4.5,4,,65.0,1.0,42.271908,-71.147806,2016-11-21 09:38:46.397014
1171553,2871556,Private room,,Roxbury,18,4.5,2,,90.0,2.0,42.330122,-71.069928,2016-11-21 11:18:10.565577
7325063,30283594,Entire home/apt,,Fenway,0,,3,,229.0,3.0,42.343496,-71.097449,2016-11-21 11:17:19.784427
4255538,11279983,Entire home/apt,,Chinatown,12,5.0,4,,287.0,2.0,42.347099,-71.062698,2016-11-21 11:17:09.684024
6870366,13382900,Private room,,Longwood Medical Area,163,5.0,1,,84.0,1.0,42.33902,-71.106641,2016-11-21 11:16:56.213443
7809904,7956208,Entire home/apt,,East Boston,23,5.0,3,,130.0,1.0,42.370051,-71.041697,2016-11-21 11:16:52.064407
6730758,207475,Entire home/apt,,Jamaica Plain,53,5.0,4,,120.0,2.0,42.31452,-71.105587,2016-11-21 11:15:53.967865
15264299,34653232,Private room,,Allston,5,5.0,2,,65.0,1.0,42.353642,-71.132646,2016-11-21 11:15:17.925212
10262267,30283594,Entire home/apt,,Chinatown,0,,2,,209.0,15.0,42.349211,-71.061217,2016-11-21 11:14:22.002718
8014642,17549955,Private room,,Roxbury,2,,2,,79.0,1.0,42.325543,-71.097571,2016-11-21 11:13:38.794634
15328307,15538049,Private room,,South Boston,3,5.0,2,,160.0,2.0,42.331493,-71.043639,2016-11-21 11:12:02.410440
15721486,53504579,Private room,,Dorchester,1,,1,,40.0,1.0,42.316775,-71.062044,2016-11-21 11:11:59.133190
12755021,9993095,Entire home/apt,,Allston,1,,3,,65.0,1.0,42.348326,-71.136134,2016-11-21 11:11:11.674968
9723217,35423230,Private room,,Brighton,1,,1,,45.0,10.0,42.355408,-71.138754,2016-11-21 11:11:01.380420
11035223,4343802,Entire home/apt,,Fenway,3,4.5,2,,103.0,1.0,42.346858,-71.095093,2016-11-21 11:10:58.650857
13926272,82543581,Entire home/apt,,Back Bay,5,5.0,2,,200.0,7.0,42.352771,-71.081206,2016-11-21 11:10:47.247595
1925397,9974086,Entire home/apt,,Beacon Hill,7,5.0,2,,150.0,2.0,42.36016,-71.070111,2016-11-21 11:10:37.031388
14977010,94356108,Private room,,East Boston,11,4.5,2,,68.0,2.0,42.385727,-71.010317,2016-11-21 11:10:25.954138
3544343,17843002,Entire home/apt,,Downtown,0,,2,,100.0,1.0,42.358439,-71.061526,2016-11-21 11:09:53.589056
13004551,12243051,Entire home/apt,,Allston,6,5.0,6,,109.0,3.0,42.364223,-71.130692,2016-11-21 11:07:22.759153
6089865,3637081,Entire home/apt,,North End,143,5.0,2,,125.0,1.0,42.366924,-71.056076,2016-11-21 09:38:33.057283
1042420,5715872,Entire home/apt,,East Boston,60,4.5,3,,112.0,2.0,42.383625,-71.020232,2016-11-21 09:37:44.560614
14767573,91855319,Private room,,West Roxbury,2,,1,,90.0,1.0,42.296661,-71.15604,2016-11-21 09:37:19.488003
13816458,80820612,Private room,,East Boston,39,5.0,1,,40.0,1.0,42.370039,-71.039891,2016-11-21 09:36:59.171398
11590512,12243051,Entire home/apt,,South End,10,4.5,2,,129.0,3.0,42.344289,-71.06305,2016-11-21 09:36:47.802583
15525006,28820575,Private room,,East Boston,0,,2,,45.0,1.0,42.372378,-71.036389,2016-11-21 09:35:46.164998
9013631,26704689,Entire home/apt,,South Boston,29,5.0,11,,350.0,1.0,42.331781,-71.052362,2016-11-21 09:35:32.125448
11474006,29112750,Private room,,South Boston,19,5.0,2,,100.0,1.0,42.334647,-71.05176,2016-11-21 09:34:40.570353
9614024,15730792,Entire home/apt,,Roxbury,8,3.5,2,,94.0,2.0,42.340223,-71.082981,2016-11-21 09:34:35.228703
7071883,4609373,Entire home/apt,,Dorchester,19,5.0,4,,250.0,2.0,42.311371,-71.051854,2016-11-21 09:33:59.447898
15131365,47142052,Entire home/apt,,South Boston,3,5.0,2,,170.0,2.0,42.331106,-71.034506,2016-11-21 09:33:52.806664
1644031,8725557,Private room,,South Boston Waterfront,55,4.5,2,,115.0,1.0,42.340173,-71.04763,2016-11-21 09:33:49.769458
14824568,34539998,Private room,,East Boston,21,4.5,2,,98.0,1.0,42.381711,-71.040866,2016-11-21 09:32:57.351547
7868931,30283594,Entire home/apt,,Mission Hill,2,,3,,169.0,3.0,42.334029,-71.101931,2016-11-21 09:32:24.234266
994138,5460465,Private room,,South Boston,106,5.0,3,,150.0,1.0,42.336436,-71.039312,2016-11-21 09:30:53.548594
12949270,18896448,Private room,,Jamaica Plain,9,5.0,2,,65.0,1.0,42.321365,-71.113231,2016-11-21 09:30:45.483214
9750460,4590803,Entire home/apt,,North End,16,5.0,4,,300.0,2.0,42.362964,-71.056081,2016-11-21 09:30:41.781647
14650655,2356643,Entire home/apt,,Allston,18,4.5,3,,125.0,2.0,42.362744,-71.129071,2016-11-21 09:30:31.648723
13007124,68072593,Entire home/apt,,North End,30,4.5,2,,120.0,,42.367071,-71.053647,2016-11-21 09:30:12.726220
8141545,30283594,Entire home/apt,,Fenway,0,,3,,189.0,3.0,42.345115,-71.10038,2016-11-21 09:29:56.431477
8301926,43772222,Private room,,South End,16,5.0,2,,99.0,2.0,42.343842,-71.070075,2016-11-21 09:28:27.436277
10328539,53149879,Private room,,Mission Hill,58,5.0,2,,74.0,1.0,42.329184,-71.100619,2016-11-21 09:25:49.893330
15057919,95195442,Private room,,Downtown,0,,4,,300.0,7.0,42.357934,-71.054336,2016-11-21 09:23:15.783177
11714059,54099497,Private room,,South Boston,5,4.5,2,,139.0,1.0,42.337048,-71.038765,2016-11-21 09:23:07.252425
7880828,41542719,Private room,,East Boston,104,4.5,1,,75.0,1.0,42.377833,-71.030262,2016-11-21 09:22:47.511952
1090413,1984434,Private room,,Back Bay,49,4.5,1,,125.0,5.0,42.345016,-71.080302,2016-11-21 09:22:44.394823
15498967,8139434,Private room,,Allston,0,,2,,55.0,1.0,42.351176,-71.139914,2016-11-21 09:22:35.645861
11986653,25716456,Private room,,South Boston,55,4.0,4,,34.0,1.0,42.323757,-71.051812,2016-11-21 09:22:32.379635
8371115,3179912,Entire home/apt,,South End,12,5.0,2,,178.0,1.0,42.336172,-71.075427,2016-11-21 09:22:29.768683
14663743,91096414,Entire home/apt,,South Boston,15,4.5,7,,208.0,2.0,42.336041,-71.053933,2016-11-21 09:22:04.049796
15581238,2442719,Entire home/apt,,Back Bay,3,5.0,2,,109.0,2.0,42.346585,-71.077104,2016-11-21 09:21:55.669648
4151979,21541399,Entire home/apt,,South Boston,101,5.0,8,,500.0,1.0,42.336144,-71.035531,2016-11-21 09:21:28.119411
1321422,6608084,Private room,,Dorchester,218,5.0,3,,76.0,1.0,42.30838,-71.046943,2016-11-21 09:21:02.191339
4431210,16442921,Private room,,Dorchester,8,4.0,1,,49.0,3.0,42.318034,-71.054511,2016-11-21 09:20:14.816280
12233285,25938928,Entire home/apt,,East Boston,48,4.5,2,,35.0,2.0,42.366928,-71.040173,2016-11-21 09:19:16.864648
10208321,52133887,Private room,,Allston,2,,2,,50.0,2.0,42.358791,-71.128565,2016-11-21 09:18:47.019676
14824684,32532791,Private room,,Fenway,3,4.5,2,,175.0,2.0,42.350122,-71.102395,2016-11-21 09:18:43.880683
3585343,10332798,Private room,,South Boston,57,4.5,2,,110.0,2.0,42.340395,-71.053735,2016-11-21 09:18:26.805091
4879702,4776690,Entire home/apt,,South End,23,5.0,3,,99.0,2.0,42.341914,-71.080806,2016-11-21 09:18:00.192269
13163259,19174854,Entire home/apt,,Charlestown,1,,3,,150.0,2.0,42.37544,-71.064136,2016-11-21 09:17:41.936712
13355213,25149641,Shared room,,Allston,3,5.0,1,,59.0,1.0,42.349999,-71.133253,2016-11-21 09:16:56.100077
13830152,21745230,Private room,,Charlestown,18,5.0,2,,80.0,1.0,42.383907,-71.078786,2016-11-21 09:16:36.466978
9145242,41542719,Private room,,East Boston,87,5.0,2,,89.0,1.0,42.376573,-71.032943,2016-11-21 09:16:28.810955
10106081,40885583,Entire home/apt,,North End,37,5.0,2,,120.0,2.0,42.366465,-71.053757,2016-11-21 09:16:24.779848
15870509,25482162,Entire home/apt,,South End,0,,2,,100.0,3.0,42.338356,-71.074679,2016-11-21 09:16:17.984081
11968079,30283594,Entire home/apt,,Chinatown,0,,3,,169.0,2.0,42.352322,-71.062026,2016-11-21 09:16:08.343232
10034284,30283594,Entire home/apt,,Chinatown,0,,5,,319.0,15.0,42.351179,-71.06122,2016-11-21 09:16:02.537103
14178758,18932946,Private room,,East Boston,32,5.0,1,,85.0,1.0,42.371996,-71.038007,2016-11-21 09:15:18.088878
9610609,49726270,Entire home/apt,,North End,10,4.5,5,,160.0,3.0,42.366169,-71.0504,2016-11-21 09:14:49.159307
1030500,5670669,Private room,,Jamaica Plain,15,4.5,2,,100.0,1.0,42.291061,-71.115936,2016-11-21 09:14:30.814559
8469464,40833154,Private room,,Roxbury,23,4.5,2,,65.0,1.0,42.325611,-71.081317,2016-11-21 09:13:23.460936
11861063,63222351,Private room,,Mission Hill,15,4.0,3,,70.0,1.0,42.328165,-71.105695,2016-11-21 09:12:21.019354
15411960,98677276,Private room,,Brighton,4,5.0,2,,43.0,1.0,42.359518,-71.145016,2016-11-21 09:11:50.050590
14870532,6814241,Private room,,South Boston,15,5.0,2,,90.0,,42.332919,-71.030724,2016-11-21 09:11:08.706842
15887464,64821714,Private room,,Beacon Hill,0,,2,,87.0,1.0,42.359981,-71.068783,2016-11-21 09:10:44.229690
14950328,92691757,Entire home/apt,,Charlestown,3,4.5,2,,208.0,1.0,42.370156,-71.060703,2016-11-21 09:10:29.222787
8088370,21406929,Shared room,,South End,22,4.5,1,,67.0,2.0,42.339545,-71.07387,2016-11-21 09:10:22.334241
8336347,30283594,Entire home/apt,,Fenway,3,5.0,5,,319.0,2.0,42.345484,-71.102074,2016-11-21 09:10:15.341598
13714934,10085529,Entire home/apt,,Dorchester,7,5.0,4,,100.0,5.0,42.315021,-71.062527,2016-11-21 09:08:49.145343
16050730,17543754,Private room,,Roxbury,0,,1,,30.0,1.0,42.326649,-71.086019,2016-11-21 09:08:17.541812
847808,4426354,Private room,,Back Bay,40,4.5,2,,75.0,1.0,42.349839,-71.087954,2016-11-21 09:07:22.266905
9390951,37344176,Private room,,East Boston,1,,2,,125.0,2.0,42.36671,-71.037126,2016-11-21 09:05:19.153317
15352809,28820575,Private room,,East Boston,0,,2,,55.0,1.0,42.370697,-71.035223,2016-11-21 09:05:15.878083
13218392,3041265,Entire home/apt,,Back Bay,3,4.5,2,,145.0,2.0,42.34388,-71.083995,2016-11-21 09:05:09.194366
13017064,12243051,Entire home/apt,,Allston,3,4.0,4,,179.0,3.0,42.364267,-71.130789,2016-11-21 09:04:40.082554
12071820,64682226,Shared room,,Jamaica Plain,7,4.5,2,,75.0,1.0,42.30688,-71.112318,2016-11-21 09:03:59.053415
15044173,10478250,Private room,,North End,2,,4,,119.0,1.0,42.365065,-71.051722,2016-11-21 09:03:51.640737
8417742,26956083,Private room,,Brighton,16,5.0,2,,79.0,2.0,42.361026,-71.141724,2016-11-21 09:03:17.638076
15020493,94803026,Private room,,Dorchester,1,,2,,90.0,1.0,42.305078,-71.064579,2016-11-21 09:03:00.134300
7053454,36992931,Private room,,Charlestown,8,5.0,2,,200.0,1.0,42.380055,-71.063241,2016-11-21 09:01:05.831866
15536111,73779661,Private room,,East Boston,13,5.0,1,,75.0,,42.366555,-71.03706,2016-11-21 09:00:00.814766
15241447,96908126,Private room,,Dorchester,5,4.5,2,,80.0,1.0,42.316426,-71.041068,2016-11-21 08:58:53.168984
15634337,32097009,Shared room,,Jamaica Plain,1,,1,,60.0,1.0,42.298636,-71.111825,2016-11-21 08:58:46.754400
6939759,26413047,Entire home/apt,,North End,4,5.0,4,,200.0,2.0,42.361883,-71.052963,2016-11-21 08:58:44.443524
12320063,66462220,Private room,,Mission Hill,3,4.5,1,,55.0,1.0,42.332893,-71.10862,2016-11-21 08:58:40.800693
15524846,28820575,Private room,,East Boston,0,,2,,44.0,1.0,42.370591,-71.03518,2016-11-21 08:58:31.414998
15599662,35695159,Private room,,Charlestown,2,,1,,75.0,1.0,42.382811,-71.078647,2016-11-21 08:56:28.302620
10880916,30283594,Entire home/apt,,Fenway,0,,3,,169.0,3.0,42.34396,-71.10062,2016-11-21 08:56:04.185317
3601424,18145041,Private room,,Brighton,107,5.0,2,,78.0,1.0,42.352881,-71.158183,2016-11-21 08:55:42.312058
14936017,90606566,Entire home/apt,,East Boston,13,5.0,2,,89.0,,42.368045,-71.038203,2016-11-21 08:55:08.084371
12826145,35738512,Private room,,North End,36,5.0,2,,159.0,1.0,42.36469,-71.05292,2016-11-21 08:54:06.474834
15476718,99345769,Private room,,Brighton,0,,3,,85.0,1.0,42.36182,-71.140113,2016-11-21 08:53:52.376577
3342206,9419684,Entire home/apt,,Chinatown,3,5.0,5,,285.0,15.0,42.351527,-71.060004,2016-11-21 08:52:21.906580
11757166,54099497,Private room,,South Boston,51,5.0,2,,69.0,1.0,42.337962,-71.039753,2016-11-21 08:52:05.719907
15544479,100022000,Private room,,East Boston,1,,2,,110.0,1.0,42.370718,-71.043176,2016-11-21 08:51:06.138514
14896820,10733730,Entire home/apt,,South Boston Waterfront,1,,6,,499.0,1.0,42.347583,-71.037896,2016-11-21 08:50:48.049114
14255219,66377071,Private room,,East Boston,54,5.0,1,,46.0,1.0,42.366905,-71.037681,2016-11-21 08:50:41.797401
13443949,63906798,Private room,,Dorchester,34,4.0,3,,65.0,1.0,42.316734,-71.053378,2016-11-21 08:50:27.783014
15047711,74813314,Private room,,Hyde Park,12,4.5,2,,50.0,2.0,42.269595,-71.11854,2016-11-21 08:48:34.080679
15451419,99114901,Entire home/apt,,South End,7,5.0,3,,320.0,1.0,42.33922,-71.071838,2016-11-21 08:47:34.214920
8336388,29066313,Private room,,Brighton,0,,2,,103.0,1.0,42.340641,-71.151356,2016-11-21 08:46:28.707218
14897219,31804748,Entire home/apt,,Downtown,27,5.0,6,,385.0,1.0,42.358756,-71.05479,2016-11-21 08:45:32.646420
2776143,324630,Entire home/apt,,Beacon Hill,262,4.0,3,,99.0,,42.360873,-71.066672,2016-11-21 08:44:54.334600
1887507,970787,Private room,,South Boston,42,4.5,2,,100.0,2.0,42.340656,-71.051166,2016-11-21 08:44:48.065202
7461091,39055334,Private room,,South Boston Waterfront,0,,2,,500.0,1.0,42.345414,-71.042859,2016-11-21 08:44:29.917960
369940,1683708,Entire home/apt,,North End,21,5.0,4,,199.0,5.0,42.36519,-71.055361,2016-11-21 08:44:22.511219
197727,964356,Private room,,Jamaica Plain,23,5.0,1,,85.0,2.0,42.313197,-71.118324,2016-11-21 08:44:13.610435
20000,68870,Private room,,East Boston,292,4.5,2,,75.0,1.0,42.383828,-71.000381,2016-11-21 08:44:06.889172
15408774,12243051,Entire home/apt,,Fenway,0,,3,,99.0,3.0,42.3456,-71.106199,2016-11-21 08:43:55.482659
8717204,25424192,Entire home/apt,,Dorchester,46,4.5,4,,180.0,2.0,42.294731,-71.061119,2016-11-21 08:42:10.585979
12580274,41542719,Private room,,East Boston,55,4.5,1,,71.0,1.0,42.376644,-71.031479,2016-11-21 08:41:31.710556
12233043,25938928,Entire home/apt,,East Boston,60,4.5,2,,35.0,2.0,42.368362,-71.039183,2016-11-21 08:41:17.964024
1615033,3637081,Entire home/apt,,North End,250,4.5,2,,135.0,1.0,42.36796,-71.055729,2016-11-21 08:40:54.051512
14924831,93820834,Private room,,Charlestown,4,5.0,1,,190.0,2.0,42.381921,-71.068837,2016-11-21 08:40:50.523407
3898015,8139434,Private room,,Allston,44,5.0,2,,75.0,1.0,42.349988,-71.144202,2016-11-21 08:40:38.055198
15955584,91548283,Private room,,Downtown,2,,2,,80.0,2.0,42.361784,-71.055993,2016-11-21 08:40:12.850620
5620496,22842174,Entire home/apt,,Charlestown,12,5.0,4,,165.0,2.0,42.378163,-71.067557,2016-11-21 08:39:37.632553
8515356,26956083,Private room,,Brighton,12,5.0,2,,69.0,2.0,42.358659,-71.141334,2016-11-21 08:39:35.283936
8310807,28820575,Private room,,Roxbury,61,4.5,1,,70.0,1.0,42.330878,-71.092984,2016-11-21 08:38:32.942071
9207914,47889779,Entire home/apt,,South End,59,5.0,4,,200.0,,42.345555,-71.061575,2016-11-21 08:36:48.449307
14965286,11232575,Entire home/apt,,North End,0,,3,,150.0,1.0,42.365116,-71.05193,2016-11-21 10:07:09.144431
4261784,17814164,Private room,,South Boston,6,4.5,2,,80.0,1.0,42.336855,-71.046938,2016-11-21 10:05:53.813460
839265,1997048,Private room,,Dorchester,20,4.5,1,,65.0,3.0,42.298224,-71.076214,2016-11-21 10:05:37.374426
11866869,15349238,Private room,,East Boston,1,,4,,70.0,3.0,42.372349,-71.04159,2016-11-21 10:05:26.178573
9845039,184232,Entire home/apt,,Fenway,6,4.5,4,,100.0,1.0,42.346909,-71.104928,2016-11-21 10:04:58.754136
1147871,1407005,Private room,,East Boston,243,4.5,2,,95.0,1.0,42.377612,-71.035198,2016-11-21 10:04:02.758935
